time,Ts_ext,Ts_int
21621.6,301.12288186992544,295.77983904392556
21794.6,301.05353440602937,295.79247330357686
21967.6,300.98418694213325,295.8051075632281
22140.5,300.8956366462482,295.81802026952363
22313.5,300.79923426900285,295.83105628390166
22486.5,300.70283189175757,295.8440922982797
22659.5,300.60642951451223,295.8571283126577
22832.4,300.5100828611844,295.8701567917674
23005.4,300.41368048393906,295.8831928061454
23178.4,300.30480707430655,295.8964497745301
23351.4,300.1928159065772,295.90976198141647
23524.3,300.0768174063006,295.92310419313685
23697.3,299.9461663495408,295.9365891558051
23870.3,299.8155152927811,295.95007411847337
24043.2,299.68493975686334,295.96355128636554
24216.2,299.55428870010354,295.9770362490338
24389.2,299.4236376433438,295.9905212117021
24562.2,299.292986586584,296.0040061743704
24735.1,299.16241105066626,296.01748334226255
24908.1,299.03038092863045,296.03096006884806
25081.1,298.87732174547097,296.0443112052311
25254.1,298.72426256231154,296.05766234161416
25427.0,298.5712918526683,296.0710057605773
25600.0,298.4182326695089,296.08435689696034
25773.0,298.2651734863494,296.0977080333434
25945.9,298.1103489240277,296.1110569488715
26118.9,297.9449068639033,296.124444799762
26291.9,297.77946480377904,296.1378326506525
26464.9,297.6061838541075,296.15100135848326
26637.8,297.427057028397,296.16399622760395
26810.8,297.24782660128346,296.1769986125541
26983.8,297.06859617417,296.1900009975042
27156.8,296.8893657470565,296.20300338245437
27329.7,296.710238921346,296.21599825157506
27502.7,296.5310084942325,296.22900063652526
27675.7,296.351778067119,296.2420030214754
27848.6,296.16621613069725,296.25489328098456
28021.6,295.9713381728149,296.26764129857594
28194.6,295.7764602149326,296.2803893161674
28367.6,295.58158225705034,296.2931373337588
28540.5,295.38681694538644,296.3058779825539
28713.5,295.19193898750416,296.3186260001453
28886.5,294.9931393052713,296.33119505998826
29059.5,294.79041789868796,296.3435851620828
29232.4,294.58781367210844,296.35596810226855
29405.4,294.3779760881468,296.3680015644507
29578.4,294.1675047597455,296.38000326540083
29751.4,293.95703343134414,296.3920049663509
29924.3,293.7466837626702,296.4039997299016
30097.3,293.53621243426886,296.4160014308517
30270.3,293.32574110586756,296.4280031318018
